id,MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_CODE,MEMBERSHIP_STATUS,START_DATE,END_DATE
116,12,100000.0,M,M,49992.0,1.0,TYPE-B,36,1,SEMI-ANNUAL,1230077,0,20110629,
117,96,100512.0,,M,,1.0,TYPE-A,47,0,SEMI-ANNUAL,195599,0,20110322,
118,22,179994.36,M,F,454992.0,1.0,TYPE-A,27,1,MONTHLY,343355,0,20130620,
119,12,100000.0,M,M,432000.0,1.0,TYPE-B,46,3,SEMI-ANNUAL,1302422,1,20121119,20130718.0
120,38,121550.64,M,M,1500000.0,1.0,TYPE-B,47,3,QUARTERLY,37900,0,20080416,
121,17,100000.0,M,F,249996.0,1.0,TYPE-B,57,2,SEMI-ANNUAL,428277,0,20100331,
122,43,200000.0,M,M,789996.0,1.0,TYPE-B,51,2,ANNUAL,739299,1,20100629,20120827.0
123,17,100000.0,S,M,499992.0,1.0,TYPE-B,25,0,ANNUAL,131022,0,20080506,
124,88,295518.24,,M,,6.0,TYPE-A,70,0,ANNUAL,1347266,1,20121022,20131121.0
125,64,178949.95,,M,600000.0,1.0,TYPE-A,65,2,ANNUAL,1270566,0,20111111,
126,22,100000.8,M,M,1200000.0,1.0,TYPE-B,33,1,MONTHLY,602322,0,20090313,
127,86,203999.88,,M,300000.0,1.0,TYPE-A,48,0,ANNUAL,1347266,0,20130612,
128,69,100000.98,,,,1.0,TYPE-B,39,0,SEMI-ANNUAL,62433,0,20081024,
129,12,100000.0,M,M,249996.0,1.0,TYPE-B,40,3,ANNUAL,219622,0,20080714,
130,17,623940.96,M,M,999996.0,2.0,TYPE-A,45,1,MONTHLY,343344,0,20130416,
131,17,119891.4,,M,,6.0,TYPE-A,75,1,MONTHLY,348022,0,20131118,
132,17,114421.67,M,F,999996.0,1.0,TYPE-A,55,2,ANNUAL,348355,0,20120925,
133,12,100000.0,M,M,249996.0,1.0,TYPE-B,51,1,SEMI-ANNUAL,435688,1,20110128,20110926.0
134,47,125000.0,M,F,360000.0,1.0,TYPE-B,37,1,ANNUAL,256488,1,20090708,20100906.0
135,17,300000.0,,,,1.0,TYPE-B,40,3,ANNUAL,722111,0,20090731,
136,12,100000.0,M,F,600000.0,2.0,TYPE-B,44,2,ANNUAL,1298677,1,20120131,20130329.0
137,12,100000.0,,M,1399992.0,1.0,TYPE-B,35,2,ANNUAL,1375155,0,20130331,
138,22,123707.88,M,M,999996.0,1.0,TYPE-A,49,1,MONTHLY,343344,0,20130624,
139,48,100000.0,M,M,399996.0,1.0,TYPE-B,46,2,ANNUAL,927566,1,20100830,20121027.0
140,17,100000.0,M,M,230004.0,1.0,TYPE-B,47,1,ANNUAL,163966,0,20080313,
141,12,500000.0,M,F,,4.0,TYPE-B,55,1,ANNUAL,161888,1,20080922,20101121.0
142,12,300006.0,M,F,999996.0,1.0,TYPE-B,49,3,ANNUAL,1143300,0,20110328,
143,12,100000.0,M,F,30000.0,1.0,TYPE-B,40,3,ANNUAL,1308488,1,20120330,20130527.0
144,12,100000.0,M,M,500004.0,1.0,TYPE-B,33,1,SEMI-ANNUAL,600466,0,20090330,
145,12,400000.0,M,M,999996.0,2.0,TYPE-B,47,3,ANNUAL,1389599,0,20130331,
146,17,120273.87,M,M,349992.0,1.0,TYPE-A,57,3,ANNUAL,347966,0,20130122,
147,12,100000.0,,M,450000.0,2.0,TYPE-B,45,1,SEMI-ANNUAL,1182811,1,20120224,20130425.0
148,12,200000.0,M,M,360000.0,1.0,TYPE-B,43,2,ANNUAL,1126900,0,20120629,
149,28,100000.0,M,M,,6.0,TYPE-B,67,2,ANNUAL,902188,0,20100331,
150,12,218001.72,S,M,480000.0,2.0,TYPE-B,30,0,MONTHLY,1354655,1,20130331,20130827.0
151,24,300000.0,M,M,1399992.0,1.0,TYPE-B,60,1,ANNUAL,343466,0,20091006,
152,12,200000.0,,,,1.0,TYPE-B,45,3,ANNUAL,954955,0,20100521,
153,32,235000.0,,M,,6.0,TYPE-A,75,3,ANNUAL,1401755,0,20130325,
154,27,100001.0,M,M,360000.0,1.0,TYPE-B,48,3,ANNUAL,191244,0,20100222,
155,22,100000.0,M,M,300000.0,1.0,TYPE-B,43,3,ANNUAL,725911,0,20091209,
156,12,100000.0,M,F,,4.0,TYPE-B,39,2,ANNUAL,867011,0,20100331,
157,29,100000.0,M,M,249996.0,1.0,TYPE-B,66,1,SEMI-ANNUAL,684044,0,20100215,
158,17,258599.24,,F,,6.0,TYPE-A,76,0,SEMI-ANNUAL,343344,0,20131031,
159,37,100000.0,M,M,200004.0,1.0,TYPE-B,47,2,ANNUAL,617133,0,20090825,
160,17,300002.4,M,M,2400000.0,1.0,TYPE-B,67,2,MONTHLY,343344,0,20090205,
161,95,100000.09,,M,499992.0,1.0,TYPE-A,46,0,ANNUAL,1171677,0,20110830,
162,12,200000.0,,F,,6.0,TYPE-B,63,2,ANNUAL,1284422,0,20130131,
163,17,239979.03,M,M,900000.0,2.0,TYPE-A,47,3,ANNUAL,1271600,0,20130330,
164,12,199999.99,M,M,2400000.0,1.0,TYPE-B,48,1,ANNUAL,802333,0,20120224,
165,62,210006.61,M,F,349992.0,1.0,TYPE-A,42,1,ANNUAL,1416011,0,20131118,
166,12,100000.0,M,F,135096.0,1.0,TYPE-B,39,1,ANNUAL,11544,0,20070625,
167,12,200000.0,S,M,300000.0,1.0,TYPE-B,24,0,ANNUAL,437477,1,20110323,20120522.0
168,49,100000.0,M,M,399996.0,1.0,TYPE-B,46,3,ANNUAL,801377,0,20100308,
169,76,150000.25,,M,,1.0,TYPE-A,54,3,ANNUAL,1122477,0,20110128,
170,17,100000.0,M,M,600000.0,5.0,TYPE-B,46,2,ANNUAL,486188,0,20100125,
171,12,120000.96,M,M,500004.0,1.0,TYPE-B,49,1,MONTHLY,941055,1,20100526,20100924.0
172,12,400000.0,,M,799992.0,1.0,TYPE-B,52,0,ANNUAL,584433,1,20110817,20121016.0
173,29,271911.2,,F,3525216.0,1.0,TYPE-A,41,1,ANNUAL,1292122,0,20130919,
174,32,283461.59,M,M,799992.0,2.0,TYPE-A,59,3,ANNUAL,1291322,0,20120119,
175,32,101686.44,M,M,1500000.0,1.0,TYPE-A,39,1,MONTHLY,1132488,1,20120316,20130303.0
176,72,1128728.26,M,M,2000004.0,1.0,TYPE-A,33,1,SEMI-ANNUAL,1179233,0,20110330,
177,17,248397.72,M,F,600000.0,1.0,TYPE-A,53,1,MONTHLY,347800,0,20120629,
178,22,100000.0,M,M,2400000.0,1.0,TYPE-B,39,2,ANNUAL,750455,1,20100115,20110317.0
179,12,150000.0,M,F,800004.0,1.0,TYPE-B,36,2,ANNUAL,1122977,1,20101126,20120125.0
180,12,100000.0,M,M,300000.0,5.0,TYPE-B,55,1,SEMI-ANNUAL,118322,1,20090703,20100304.0
181,27,100000.0,,,,1.0,TYPE-B,56,2,SEMI-ANNUAL,985244,0,20100827,
182,17,113870.74,,M,,6.0,TYPE-A,53,1,ANNUAL,348100,0,20130522,
183,22,103090.01,M,M,279996.0,2.0,TYPE-A,26,2,ANNUAL,452622,0,20130926,
184,22,103089.97,M,M,3000000.0,1.0,TYPE-A,52,3,ANNUAL,1342655,0,20130628,
185,12,100000.0,,,,1.0,TYPE-B,53,0,ANNUAL,629933,0,20100326,
186,32,200000.03,,M,,6.0,TYPE-A,41,0,ANNUAL,1234011,0,20130122,
187,12,100000.0,M,M,249996.0,1.0,TYPE-B,41,2,ANNUAL,325777,0,20091231,
188,59,100001.0,M,M,200004.0,1.0,TYPE-B,35,2,ANNUAL,159744,0,20100831,
189,66,100002.51,,M,,6.0,TYPE-A,68,1,ANNUAL,1461399,0,20131031,
190,68,334444.64,M,M,799992.0,2.0,TYPE-A,37,2,ANNUAL,1331000,0,20130107,
191,76,110099.57,,F,399996.0,1.0,TYPE-A,59,0,ANNUAL,1433455,0,20130731,
192,67,179999.71,,M,,6.0,TYPE-A,66,2,ANNUAL,132000,0,20130331,
193,56,100000.0,D,F,399996.0,1.0,TYPE-B,39,0,ANNUAL,225699,1,20100211,20120411.0
194,27,100000.0,,,,1.0,TYPE-B,85,0,ANNUAL,772044,0,20100730,
195,87,100000.1,,M,1599996.0,1.0,TYPE-A,46,0,ANNUAL,1273200,0,20131008,
196,86,112636.72,,M,,1.0,TYPE-A,63,0,ANNUAL,91799,1,20110215,20120316.0
197,49,100000.0,M,M,360000.0,1.0,TYPE-B,36,2,SEMI-ANNUAL,187388,0,20080201,
198,17,184032.97,M,F,499992.0,1.0,TYPE-A,63,3,ANNUAL,343344,0,20130717,
199,17,104959.8,M,F,399996.0,2.0,TYPE-A,62,2,MONTHLY,343344,0,20130131,
200,59,150000.0,M,M,1200000.0,1.0,TYPE-B,35,3,ANNUAL,864377,1,20100625,20110824.0
201,22,100000.0,M,M,,6.0,TYPE-B,72,2,ANNUAL,579655,0,20100607,
202,22,100000.42,S,M,499992.0,2.0,TYPE-A,24,0,ANNUAL,1363911,0,20130827,
203,27,100000.0,S,M,600000.0,1.0,TYPE-B,34,0,ANNUAL,828633,1,20100331,20110527.0
204,17,100000.0,S,M,900000.0,1.0,TYPE-B,25,0,ANNUAL,117155,0,20071231,
205,27,100000.0,S,M,399996.0,1.0,TYPE-B,26,0,QUARTERLY,873622,1,20100226,20110725.0
206,36,240000.0,M,F,,4.0,TYPE-B,59,2,MONTHLY,343344,0,20100322,
207,12,100000.0,M,F,600000.0,1.0,TYPE-B,43,3,ANNUAL,1104099,0,20100816,
208,12,100000.41,,M,649992.0,1.0,TYPE-A,74,2,ANNUAL,1250888,1,20111012,20121111.0
209,27,110000.0,M,F,500004.0,1.0,TYPE-B,46,2,SEMI-ANNUAL,183622,1,20090730,20120328.0
210,93,121000.03,,F,499992.0,1.0,TYPE-A,50,0,ANNUAL,1358300,0,20130628,
211,17,245996.64,S,M,1999992.0,1.0,TYPE-A,39,0,MONTHLY,343344,0,20130228,
212,46,200000.0,M,M,999996.0,1.0,TYPE-B,49,2,ANNUAL,739300,1,20100624,20110823.0
213,27,100000.0,M,M,500004.0,1.0,TYPE-B,40,1,ANNUAL,810944,0,20100108,
214,12,100000.0,M,M,650004.0,1.0,TYPE-B,42,2,ANNUAL,1095299,1,20110225,20120425.0
215,12,200000.0,M,M,2499996.0,2.0,TYPE-B,65,2,ANNUAL,496533,0,20121231,
216,41,199999.0,M,M,5000004.0,1.0,TYPE-B,44,2,ANNUAL,125655,0,20080229,
217,17,100514.06,,M,,1.0,TYPE-A,65,0,SEMI-ANNUAL,1132277,1,20101122,20111222.0
218,17,101550.1,,F,,6.0,TYPE-A,66,0,SEMI-ANNUAL,343344,0,20120625,
219,12,100000.0,M,M,300000.0,5.0,TYPE-B,37,3,ANNUAL,658999,1,20100216,20120416.0
220,42,190001.52,M,M,500004.0,1.0,TYPE-B,42,3,MONTHLY,260600,0,20081230,
221,17,121195.32,M,M,300000.0,1.0,TYPE-A,33,3,MONTHLY,343344,0,20130228,
222,12,108000.84,S,M,600000.0,1.0,TYPE-B,27,0,MONTHLY,87111,0,20080118,
223,58,750000.0,M,M,750000.0,1.0,TYPE-B,37,3,ANNUAL,587177,1,20100908,20121107.0
224,12,999999.99,M,M,120000.0,1.0,TYPE-B,61,3,ANNUAL,1271111,1,20120321,20130520.0
225,17,100000.0,M,F,,4.0,TYPE-B,27,2,ANNUAL,257788,0,20090109,
226,22,103999.94,,F,600000.0,2.0,TYPE-A,53,0,SEMI-ANNUAL,20511,0,20130827,
227,12,200000.0,M,M,1200000.0,1.0,TYPE-B,44,1,ANNUAL,592066,0,20090313,
228,12,120000.0,M,M,600000.0,2.0,TYPE-B,45,2,ANNUAL,758777,0,20120330,
229,25,100000.0,M,F,500004.0,1.0,TYPE-B,70,1,ANNUAL,712700,1,20100831,20111027.0
230,36,1010008.08,M,F,1800000.0,1.0,TYPE-B,48,1,MONTHLY,181333,0,20081229,
231,17,251000.0,M,M,360000.0,1.0,TYPE-B,34,2,ANNUAL,41788,1,20071129,20100127.0
232,17,100000.66,,M,1500000.0,2.0,TYPE-A,7,3,ANNUAL,1330511,0,20130325,
233,27,100000.0,M,M,300000.0,1.0,TYPE-B,34,1,ANNUAL,334844,0,20100831,
234,12,200000.0,S,M,799992.0,2.0,TYPE-B,24,0,ANNUAL,601466,0,20130331,
235,77,101030.0,S,M,699996.0,5.0,TYPE-A,26,0,ANNUAL,1107844,0,20110127,
236,28,120000.0,M,M,,6.0,TYPE-B,67,3,MONTHLY,348077,0,20100112,
237,32,106365.36,M,F,274992.0,1.0,TYPE-A,50,3,MONTHLY,1308066,0,20121130,
238,12,121815.24,M,M,799992.0,1.0,TYPE-A,66,1,MONTHLY,1249255,1,20110912,20120513.0
239,86,158542.11,,M,499992.0,2.0,TYPE-A,47,0,ANNUAL,570811,0,20130325,
240,34,120000.96,M,F,219996.0,1.0,TYPE-B,51,2,MONTHLY,343477,0,20090731,
241,22,175000.0,S,F,720000.0,1.0,TYPE-B,41,0,ANNUAL,275499,0,20090420,
242,61,201236.05,M,M,900000.0,1.0,TYPE-A,44,3,ANNUAL,1176688,1,20110228,20120329.0
243,27,100000.0,M,M,600000.0,1.0,TYPE-B,30,2,QUARTERLY,760922,0,20100129,
244,51,100000.0,S,F,3000000.0,1.0,TYPE-B,44,0,SEMI-ANNUAL,343344,0,20100817,
245,27,110000.0,M,F,500004.0,1.0,TYPE-B,58,3,SEMI-ANNUAL,534911,0,20090918,
246,17,119996.64,,,,1.0,TYPE-B,48,0,MONTHLY,102599,0,20090721,
247,12,100000.0,S,M,399996.0,5.0,TYPE-B,28,0,ANNUAL,38555,1,20071026,20081225.0
248,17,125687.64,W,F,900000.0,1.0,TYPE-A,53,0,MONTHLY,347755,0,20130930,
249,90,100437.02,,F,,1.0,TYPE-A,39,0,SEMI-ANNUAL,1144166,1,20101231,20110728.0
250,27,100000.0,,,,1.0,TYPE-B,63,0,ANNUAL,538211,0,20100218,
251,17,101999.4,M,M,450000.0,1.0,TYPE-A,52,3,MONTHLY,343477,0,20130524,
252,48,120000.96,M,F,450000.0,1.0,TYPE-B,37,3,MONTHLY,343344,0,20090812,
253,12,120000.96,M,F,300000.0,2.0,TYPE-B,34,2,MONTHLY,102611,0,20121123,
254,49,240000.7,M,M,600000.0,1.0,TYPE-A,55,3,SEMI-ANNUAL,1358300,0,20130821,
255,102,205317.26,,M,999996.0,2.0,TYPE-A,27,0,ANNUAL,1312844,1,20120723,20130822.0
256,12,200000.52,S,M,600000.0,1.0,TYPE-B,30,0,MONTHLY,438400,0,20080930,
257,27,100000.0,,,,1.0,TYPE-B,55,0,SEMI-ANNUAL,309877,0,20100217,
258,12,100000.0,M,M,324996.0,5.0,TYPE-B,41,2,ANNUAL,174422,0,20081231,
259,17,100000.0,S,M,800004.0,1.0,TYPE-B,29,0,ANNUAL,266433,0,20080717,
260,53,100000.3,M,M,549996.0,1.0,TYPE-A,52,2,ANNUAL,855966,0,20110630,
261,12,100000.0,M,M,500004.0,1.0,TYPE-B,30,1,ANNUAL,807399,0,20091124,
262,22,107213.68,M,M,300000.0,1.0,TYPE-A,28,1,SEMI-ANNUAL,343344,0,20130930,
